0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,13,Aurora,de_nuke,14,NRG,B,-25.0,,,,,,woxic,,,,,,1,,,[],,,,0,2,3,0,False
0,0,13,NRG,de_nuke,14,NRG,B,-25.0,,,,,,Jeorge,,,,,,0,,,[],,,,1,0,0,0,False
0,0,13,Aurora,de_nuke,14,NRG,B,-25.0,,,,,,Wicadia,,,,,,2,,,[],,,,0,4,1,0,False
0,0,13,Aurora,de_nuke,14,NRG,B,-25.0,,,,,,MAJ3R,,,,,,1,,,[],,,,0,4,1,0,False
0,0,13,NRG,de_nuke,14,NRG,B,-25.0,,,,,,br0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,13,NRG,de_nuke,14,NRG,B,-25.0,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,13,Aurora,de_nuke,14,NRG,B,-25.0,,,,,,XANTARES,,,,,,1,,,[],,,,1,2,0,0,False
0,0,14,NRG,de_nuke,15,Aurora,,,,,,,,oSee,,,,,,0,,,[],,,,0,1,1,0,False
0,0,14,NRG,de_nuke,15,Aurora,,,,,,,,HexT,,,,,,0,,,[],,,,0,0,0,0,False
0,0,14,Aurora,de_nuke,15,Aurora,,,,,,,,jottAAA,,,,,,2,,,[],,,,4,1,0,0,False
0,0,14,Aurora,de_nuke,15,Aurora,,,,,,,,woxic,,,,,,1,,,[],,,,0,3,1,0,False
0,0,14,NRG,de_nuke,15,Aurora,,,,,,,,Jeorge,,,,,,0,,,[],,,,0,4,0,0,False
0,0,14,Aurora,de_nuke,15,Aurora,,,,,,,,Wicadia,,,,,,1,,,[],,,,0,3,0,0,False
0,0,14,Aurora,de_nuke,15,Aurora,,,,,,,,MAJ3R,,,,,,0,,,[],,,,0,0,1,0,False
0,0,14,NRG,de_nuke,15,Aurora,,,,,,,,br0,,,,,,0,,,[],,,,0,1,0,0,False
0,0,14,NRG,de_nuke,15,Aurora,,,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,14,Aurora,de_nuke,15,Aurora,,,,,,,,XANTARES,,,,,,0,,,[],,,,0,0,0,0,False
0,0,15,NRG,de_nuke,16,Aurora,B,78.84375,,,,,,oSee,,,,,,1,,,[],,,,0,1,3,1,False
0,0,15,NRG,de_nuke,16,Aurora,B,78.84375,,,,,,HexT,,,,,,0,,,[],,,,0,2,1,0,False
0,0,15,Aurora,de_nuke,16,Aurora,B,78.84375,,,,,,jottAAA,,,,,,0,,,[],,,,0,0,0,0,False
0,0,15,Aurora,de_nuke,16,Aurora,B,78.84375,,,,,,woxic,,,,,,1,,,[],,,,0,1,0,0,False
0,0,15,NRG,de_nuke,16,Aurora,B,78.84375,,,,,,Jeorge,,,,,,1,,,[],,,,1,4,0,0,True
0,0,15,Aurora,de_nuke,16,Aurora,B,78.84375,,,,,,Wicadia,,,,,,2,,,[],,,,1,5,0,0,False
0,0,15,Aurora,de_nuke,16,Aurora,B,78.84375,,,,,,MAJ3R,,,,,,2,,,[],,,,1,2,0,0,False
0,0,15,NRG,de_nuke,16,Aurora,B,78.84375,,,,,,br0,,,,,,2,,,[],,,,2,5,1,0,False
0,0,15,NRG,de_nuke,16,Aurora,B,78.84375,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,15,Aurora,de_nuke,16,Aurora,B,78.84375,,,,,,XANTARES,,,,,,0,,,[],,,,0,2,1,0,False
0,0,16,NRG,de_nuke,17,Aurora,B,-25.0,,,,,,oSee,,,,,,1,,,[],,,,0,3,0,0,False
0,0,16,NRG,de_nuke,17,Aurora,B,-25.0,,,,,,HexT,,,,,,0,,,[],,,,0,0,0,0,False
0,0,16,Aurora,de_nuke,17,Aurora,B,-25.0,,,,,,jottAAA,,,,,,0,,,[],,,,0,0,0,0,False
0,0,16,Aurora,de_nuke,17,Aurora,B,-25.0,,,,,,woxic,,,,,,1,,,[],,,,0,0,1,0,False
0,0,16,NRG,de_nuke,17,Aurora,B,-25.0,,,,,,Jeorge,,,,,,1,,,[],,,,0,0,0,0,False
0,0,16,Aurora,de_nuke,17,Aurora,B,-25.0,,,,,,Wicadia,,,,,,0,,,[],,,,0,0,0,0,False
0,0,16,Aurora,de_nuke,17,Aurora,B,-25.0,,,,,,MAJ3R,,,,,,3,,,[],,,,3,2,3,1,False
0,0,16,NRG,de_nuke,17,Aurora,B,-25.0,,,,,,br0,,,,,,0,,,[],,,,0,1,0,0,False
0,0,16,NRG,de_nuke,17,Aurora,B,-25.0,,,,,,nitr0,,,,,,0,,,[],,,,0,2,0,0,False
0,0,16,Aurora,de_nuke,17,Aurora,B,-25.0,,,,,,XANTARES,,,,,,1,,,[],,,,1,1,0,0,False
